StudentID,Sname,Major,Gender,StRating,Level,XP,Password
1,Merve Şahin,İşletme,Female,2.0,5,15,HX4?Tp-d
2,Hatice Öztürk,Fizik,Female,4.4,1,30,u-cwIo7h
3,Emre Güneş,Fizik,Male,3.6,1,50,wPCCPQG9
4,Ali Çetin,Medya,Male,2.1,15,15,ubKnFSmt
5,Oğuz Aydın,Fizik,Male,4.4,17,80,mQp.kfAH
6,Selim Polat,Medya,Male,2.7,40,65,0xdcK1qL
7,Turan Güneş,Matematik,Male,4.1,23,60,Mwni.8Bn
8,Murat Altun,Makine Mühendisliği,Male,3.7,19,85,tEcYPEAh
9,Ali Koç,Makine Mühendisliği,Male,2.6,20,30,4vV*dLL?
10,Yıldız Polat,Biyoloji,Other,2.4,2,70,GZaR*tvU
11,İbrahim Öztürk,Hukuk,Male,4.4,46,95,6nUKsC3g
12,Yusuf Aydın,Matematik,Male,4.5,10,40,6ZPvD!sr
13,Merve Demir,Biyoloji,Female,4.0,7,60,.LEm97t!
14,Ayşe Güneş,Bilgisayar Mühendisliği,Female,4.7,2,90,*jiqVNUo
15,Nur Demir,Bilgisayar Mühendisliği,Female,3.6,25,90,hgpYnGxi
16,Oğuz Şahin,Hukuk,Male,4.2,5,35,rJSIcD5t
17,Eda Polat,Bilgisayar Mühendisliği,Female,3.9,45,75,.G?ofCKT
18,Kaan Şahin,Biyoloji,Male,4.2,12,0,dcEcjd.F
19,Mustafa Altun,Biyoloji,Male,3.5,4,45,3fP6A1aJ
20,Dilara Altun,Makine Mühendisliği,Female,3.6,20,10,XlPWOD4C
21,Mustafa Öztürk,Matematik,Male,4.5,10,90,Sd9Tyq-Q
22,Havva Çelik,Fizik,Female,3.6,10,75,omdWh3-s
23,Merve Erdem,Psikoloji,Female,2.7,38,80,5c4x.boB
24,Ahmet Çelik,Fizik,Male,4.7,9,35,nvrEvQoU
25,Utku Erdem,Makine Mühendisliği,Other,3.2,14,10,XxaLaVdz
26,Furkan Aksoy,Bilgisayar Mühendisliği,Male,4.3,23,35,rl4y!2*i
27,Zeynep Çetin,Hukuk,Female,2.7,49,30,D9xw-o6L
28,Büşra Çetin,Bilgisayar Mühendisliği,Female,4.6,14,90,zU_f2VfU
29,Duygu Kaya,Bilgisayar Mühendisliği,Female,2.3,16,70,y81F6JkW
30,Sinemis Demir,Biyoloji,Female,3.7,24,35,UlXT*2XB
31,Uğur Demir,Medya,Male,3.3,7,35,Oi7o20LZ
32,Hatice Aksoy,Makine Mühendisliği,Female,1.9,33,45,YPpUzXB-
33,Mustafa Toktaş,Medya,Male,2.3,15,60,zH0.sRni
34,Selim Aydın,Makine Mühendisliği,Male,1.9,8,45,V4c9jxav
35,Evren Erdem,Psikoloji,Other,3.4,10,30,O*kY!6ev
36,Sinemis Şahin,Medya,Female,3.4,27,25,ig?8YITp
37,Hasan Aydın,Biyoloji,Male,2.5,5,5,x22rMhQQ
38,Furkan Çetin,Biyoloji,Male,4.0,4,95,ElF_ry6.
39,Yasemin Demir,Hukuk,Female,1.6,49,55,F6T.gY2x
40,Cem Aksoy,Makine Mühendisliği,Male,2.9,8,45,0Huoz45S
41,Ayşe Koç,Psikoloji,Female,3.2,25,90,02anueXt
42,Atalay Aydın,Medya,Male,2.5,17,80,-Vc.3J*?
43,Osman Erdem,Hukuk,Male,4.2,1,75,6zYtAKSg
44,Ozan Polat,İşletme,Other,4.7,1,45,w2.Plo38
45,Oğuz Çelik,Hukuk,Male,1.7,1,0,kjM8Qk4j
46,Deniz Yılmaz,Fizik,Other,4.3,17,80,AUMXdqTY
47,Sibel Güneş,Bilgisayar Mühendisliği,Female,1.7,40,15,5yGjsFT9
48,Beren Güneş,Medya,Female,3.5,4,40,Nx5ScuB5
49,Turan Güneş,Bilgisayar Mühendisliği,Male,4.7,11,15,cHIG13k3
50,Hüseyin Şahin,İşletme,Male,3.5,4,55,x?.kYdv1
51,Eda Çelik,Psikoloji,Female,3.0,6,40,zjr2gO0Y
52,Eren Erdem,Fizik,Male,3.3,34,45,IUcd32!h
53,Murat Koç,Fizik,Male,3.0,7,15,LPefdTOQ
54,Yıldız Erdem,Hukuk,Other,4.0,3,70,9m8Ezx_U
55,Mehmet Güneş,Makine Mühendisliği,Male,3.9,6,35,WfzhW1pN
56,Murat Öztürk,Fizik,Male,3.1,20,0,DZUTum0h
57,Ali Demir,Matematik,Male,0.8,18,0,lFp1SFK0
58,Dilara Erdem,Hukuk,Female,1.6,43,30,?beh?zHE
59,Dilara Öztürk,Fizik,Female,0.7,27,70,WsDpta3t
60,Berk Güneş,İşletme,Male,3.1,7,75,qQsygIRr
61,Yusuf Altun,Medya,Male,4.4,30,60,E_p38tlF
62,Doğa Demir,Fizik,Other,2.5,3,25,6g8-L1GX
63,Emre Yılmaz,Hukuk,Male,2.0,11,55,Voj3wuys
64,Dilara Demir,Makine Mühendisliği,Female,1.7,30,45,a0vJKabJ
65,Hasan Şahin,Makine Mühendisliği,Male,2.5,3,45,QkbwtlLo
