StudentID	Stname	Major	Gender	StRating	Level	XP	Password
1	Merve Şahin	Business	Female	2.0	5	15	HX4?Tp-d
2	Hatice Öztürk	Physics	Female	4.4	1	30	u-cwIo7h
3	Emre Güneş	Physics	Male	3.6	1	50	wPCCPQG9
4	Ali Çetin	MAVA	Male	2.1	15	15	ubKnFSmt
5	Oğuz Aydın	Physics	Male	4.4	17	80	mQp.kfAH
6	Selim Polat	MAVA	Male	2.7	40	65	0xdcK1qL
7	Turan Güneş	Math	Male	4.1	23	60	Mwni.8Bn
8	Murat Altun	Mech	Male	3.7	19	85	tEcYPEAh
9	Ali Koç	Mech	Male	2.6	20	30	4vV*dLL?
10	Yıldız Polat	Biology	Other	2.4	2	70	GZaR*tvU
11	İbrahim Öztürk	Law	Male	4.4	46	95	6nUKsC3g
12	Yusuf Aydın	Math	Male	4.5	10	40	6ZPvD!sr
13	Merve Demir	Biology	Female	4.0	7	60	.LEm97t!
14	Ayşe Güneş	Comp	Female	4.7	2	90	*jiqVNUo
15	Nur Demir	Comp	Female	3.6	25	90	hgpYnGxi
16	Oğuz Şahin	Law	Male	4.2	5	35	rJSIcD5t
17	Eda Polat	Comp	Female	3.9	45	75	.G?ofCKT
18	Kaan Şahin	Biology	Male	4.2	12	0	dcEcjd.F
19	Mustafa Altun	Biology	Male	3.5	4	45	3fP6A1aJ
20	Dilara Altun	Mech	Female	3.6	20	10	XlPWOD4C
21	Mustafa Öztürk	Math	Male	4.5	10	90	Sd9Tyq-Q
22	Havva Çelik	Physics	Female	3.6	10	75	omdWh3-s
23	Merve Erdem	Psyc	Female	2.7	38	80	5c4x.boB
24	Ahmet Çelik	Physics	Male	4.7	9	35	nvrEvQoU
25	Utku Erdem	Mech	Other	3.2	14	10	XxaLaVdz
26	Furkan Aksoy	Comp	Male	4.3	23	35	rl4y!2*i
27	Zeynep Çetin	Law	Female	2.7	49	30	D9xw-o6L
28	Büşra Çetin	Comp	Female	4.6	14	90	zU_f2VfU
29	Duygu Kaya	Comp	Female	2.3	16	70	y81F6JkW
30	Sinemis Demir	Biology	Female	3.7	24	35	UlXT*2XB
31	Uğur Demir	MAVA	Male	3.3	7	35	Oi7o20LZ
32	Hatice Aksoy	Mech	Female	1.9	33	45	YPpUzXB-
33	Mustafa Toktaş	MAVA	Male	2.3	15	60	zH0.sRni
34	Selim Aydın	Mech	Male	1.9	8	45	V4c9jxav
35	Evren Erdem	Psyc	Other	3.4	10	30	O*kY!6ev
36	Sinemis Şahin	MAVA	Female	3.4	27	25	ig?8YITp
37	Hasan Aydın	Biology	Male	2.5	5	5	x22rMhQQ
38	Furkan Çetin	Biology	Male	4.0	4	95	ElF_ry6.
